iter	RMSE
0	0.3646682728
1	0.3527027146
2	0.3412095696
3	0.3305208375
4	0.319988711
5	0.3100303165
6	0.300658467
7	0.2915127662
8	0.28283393
9	0.2746168126
10	0.2668124761
11	0.2593900656
12	0.2522163248
13	0.245389603
14	0.2389803628
15	0.2328258077
16	0.2270885903
17	0.2214941805
18	0.216226453
19	0.2111723976
20	0.2063585444
21	0.201823243
22	0.1976121319
23	0.193565598
24	0.189664514
25	0.1859973523
26	0.1826427081
27	0.1792952405
28	0.1762946304
29	0.1733806294
30	0.1706165602
31	0.1680982323
32	0.1655895201
33	0.1632322962
34	0.1611429947
35	0.1590380531
36	0.1570408642
37	0.1551733256
38	0.153440558
39	0.1518467721
40	0.1503274007
41	0.1488601072
42	0.1474930586
43	0.1462487718
44	0.1450449572
45	0.1439108754
46	0.1428755976
47	0.1418511956
48	0.1409091783
49	0.1400689392
50	0.139257266
51	0.138435371
52	0.1376924901
53	0.1370193281
54	0.1363366495
55	0.1357423624
56	0.1351625543
57	0.1345752809
58	0.1340482316
59	0.1335705844
60	0.1330937788
61	0.132693036
62	0.1322642559
63	0.1318756101
64	0.1315155416
65	0.1311736337
66	0.1308466644
67	0.1305391817
68	0.1302347293
69	0.129944941
70	0.1296639357
71	0.1293964004
72	0.129129608
73	0.1289050623
74	0.1286737392
75	0.1284591963
76	0.1282645899
77	0.1280878319
78	0.1279122044
79	0.1277476632
80	0.1275956604
81	0.1274471908
82	0.1273018689
83	0.1271480014
84	0.1270246656
85	0.1269011856
86	0.1266951223
87	0.1265793282
88	0.1264895261
89	0.1263800643
90	0.1262769095
91	0.1261892123
92	0.1260573058
93	0.1259780609
94	0.125899655
95	0.1258116141
96	0.1257361863
97	0.1256397698
98	0.1255568594
99	0.1254222963
100	0.1253453682
101	0.1252733814
102	0.1251742924
103	0.1250867909
104	0.124992108
105	0.1249206378
106	0.1248537922
107	0.1247865876
108	0.1247205711
109	0.1246257295
110	0.1245770158
111	0.1244873865
112	0.1244084094
113	0.1243578858
114	0.1242891367
115	0.1242193385
116	0.1241830873
117	0.1241082184
118	0.1240540843
119	0.1239825855
120	0.1239197083
121	0.1238870673
122	0.1238526947
123	0.123819579
124	0.1237149559
125	0.1236853069
126	0.1236480232
127	0.1236199683
128	0.1235909616
129	0.1235575666
130	0.1234975237
131	0.1234687904
132	0.123428839
133	0.1233999857
134	0.1233721914
135	0.1233416014
136	0.1232372369
137	0.1231878594
138	0.1231568564
139	0.123122023
140	0.123102558
141	0.1230818354
142	0.1230310641
143	0.1230112626
144	0.122989003
145	0.1229626886
146	0.1229258304
147	0.1229050851
148	0.1228894502
149	0.1227987395
150	0.1227692025
151	0.122751715
152	0.1227424961
153	0.122695052
154	0.1226781744
155	0.1226597975
156	0.12259452
157	0.1225821626
158	0.1225705222
159	0.1225491461
160	0.1225178635
161	0.1224871177
162	0.1224743198
163	0.1223503599
164	0.1222982677
165	0.1222162416
166	0.1222089696
167	0.1221940523
168	0.1221582339
169	0.1221142197
170	0.1220664707
171	0.1220463847
