iter	Passed	Remaining
0	6	2554
1	11	2255
2	15	2095
3	20	2036
4	25	2019
5	30	2008
6	35	2019
7	40	2000
8	45	1991
9	50	1983
10	55	1979
11	61	2004
12	67	2003
13	73	2017
14	78	2015
15	83	2010
16	88	2003
17	93	1990
18	99	2000
19	106	2025
20	114	2074
21	120	2073
22	126	2075
23	133	2090
24	139	2086
25	145	2094
26	151	2095
27	157	2088
28	164	2103
29	171	2112
30	178	2124
31	183	2112
32	188	2099
33	194	2092
34	199	2085
35	205	2079
36	210	2067
37	217	2068
38	222	2060
39	228	2054
40	233	2048
41	239	2041
42	244	2030
43	250	2024
44	255	2016
45	260	2007
46	266	1998
47	271	1993
48	277	1985
49	282	1978
50	288	1973
51	293	1965
52	299	1959
53	304	1953
54	310	1948
55	315	1938
56	321	1933
57	326	1928
58	332	1923
59	338	1917
60	343	1910
61	349	1904
62	355	1901
63	361	1896
64	366	1891
65	373	1888
66	378	1882
67	384	1878
68	428	2054
69	452	2132
70	460	2134
71	466	2123
72	470	2109
73	475	2096
74	481	2086
75	486	2073
76	491	2060
77	496	2048
78	501	2036
79	507	2028
80	513	2020
81	518	2009
82	523	1999
83	529	1993
84	536	1989
85	544	1987
86	550	1981
87	558	1981
88	564	1974
89	570	1965
90	577	1959
91	583	1951
92	588	1942
93	595	1939
94	606	1946
95	613	1942
96	618	1932
97	623	1921
98	631	1918
99	636	1910
100	642	1901
101	648	1894
102	653	1885
103	658	1875
104	664	1866
105	669	1856
106	674	1846
107	679	1835
108	683	1825
109	689	1817
110	694	1808
111	699	1799
112	705	1791
113	710	1783
114	715	1774
115	721	1765
116	725	1755
117	731	1747
118	736	1738
119	743	1733
120	749	1728
121	754	1720
122	760	1712
123	766	1705
124	771	1697
125	777	1690
126	783	1683
127	788	1676
128	794	1668
129	799	1661
130	805	1654
131	811	1648
132	817	1640
133	823	1634
134	829	1627
135	834	1620
136	840	1613
137	847	1609
138	853	1601
139	857	1592
140	862	1584
141	867	1575
142	871	1566
143	876	1558
144	881	1549
145	885	1540
146	890	1532
147	894	1523
148	899	1514
149	903	1506
150	908	1497
151	913	1490
152	918	1482
153	922	1474
154	927	1466
155	932	1458
156	938	1451
157	942	1443
158	947	1435
159	952	1428
160	956	1420
161	961	1412
162	966	1405
163	971	1397
164	975	1389
165	980	1382
166	985	1375
167	990	1367
168	995	1360
169	999	1352
170	1004	1345
171	1009	1338
172	1014	1331
173	1020	1325
174	1026	1320
175	1032	1313
176	1037	1306
177	1042	1300
178	1047	1293
179	1053	1287
180	1059	1282
181	1065	1275
182	1070	1269
183	1078	1265
184	1084	1259
185	1089	1254
186	1096	1248
187	1103	1244
188	1110	1239
189	1117	1234
190	1124	1230
191	1130	1224
192	1136	1219
193	1142	1213
194	1149	1208
195	1156	1203
196	1162	1198
197	1168	1192
198	1174	1185
199	1179	1179
200	1186	1174
201	1191	1167
202	1198	1162
203	1202	1155
204	1207	1148
205	1212	1141
206	1216	1134
207	1221	1127
208	1226	1120
209	1230	1113
210	1236	1107
211	1243	1102
212	1249	1096
213	1255	1090
214	1260	1084
215	1265	1078
216	1270	1071
217	1276	1065
218	1282	1060
219	1288	1053
220	1293	1047
221	1299	1042
222	1305	1036
223	1311	1030
224	1317	1024
225	1322	1018
226	1327	1012
227	1332	1005
228	1338	999
229	1343	992
230	1353	990
231	1361	986
232	1367	980
233	1372	973
234	1377	967
235	1383	961
236	1388	955
237	1393	948
238	1397	941
239	1403	935
240	1408	929
241	1413	922
242	1419	916
243	1424	910
244	1430	904
245	1435	898
246	1439	891
247	1444	885
248	1449	878
249	1454	872
250	1459	866
251	1463	859
252	1469	853
253	1474	847
254	1479	841
255	1484	835
256	1489	828
257	1494	822
258	1501	817
259	1506	811
260	1511	805
261	1516	798
262	1521	792
263	1525	786
264	1530	779
265	1535	773
266	1540	767
267	1546	761
268	1551	755
269	1555	749
270	1561	743
271	1566	736
272	1571	730
273	1576	724
274	1580	718
275	1585	712
276	1590	706
277	1595	700
278	1599	693
279	1605	687
280	1610	682
281	1615	675
282	1620	670
283	1626	664
284	1630	658
285	1636	652
286	1641	646
287	1647	640
288	1653	635
289	1658	629
290	1664	623
291	1670	617
292	1675	612
293	1681	606
294	1687	600
295	1695	595
296	1702	590
297	1710	585
298	1718	580
299	1726	575
300	1733	569
301	1740	564
302	1747	559
303	1759	555
304	1767	550
305	1774	545
306	1781	539
307	1788	534
308	1793	528
309	1798	522
310	1804	516
311	1809	510
312	1814	504
313	1819	498
314	1824	492
315	1830	486
316	1835	480
317	1840	474
318	1846	468
319	1851	462
320	1856	456
321	1862	451
322	1867	445
323	1872	439
324	1879	433
325	1884	427
326	1889	421
327	1894	415
328	1899	409
329	1904	403
330	1909	398
331	1914	392
332	1919	386
333	1926	380
334	1931	374
335	1936	368
336	1941	362
337	1946	357
338	1951	351
339	1956	345
340	1961	339
341	1967	333
342	1972	327
343	1977	321
344	1983	316
345	1989	310
346	1994	304
347	2000	298
348	2005	293
349	2010	287
350	2017	281
351	2024	276
352	2032	270
353	2039	265
354	2046	259
355	2053	253
356	2059	248
357	2065	242
358	2071	236
359	2076	230
360	2085	225
361	2092	219
362	2099	213
363	2105	208
364	2110	202
365	2116	196
366	2122	190
367	2127	184
368	2132	179
369	2138	173
370	2144	167
371	2149	161
372	2154	155
373	2158	150
374	2163	144
375	2168	138
376	2174	132
377	2179	126
378	2184	121
379	2190	115
380	2196	109
381	2201	103
382	2207	97
383	2212	92
384	2217	86
385	2222	80
386	2227	74
387	2232	69
388	2238	63
389	2244	57
390	2250	51
391	2257	46
392	2263	40
393	2269	34
394	2276	28
395	2283	23
396	2290	17
397	2297	11
398	2304	5
399	2310	0
